ResponseId,Q7,Examsoft,ProctorU,Respondus,RPNow,Other,Total
R_xxgR2nBYBqt22zL,Respondus,,,Strongly agree,,,Strongly agree
R_3rUiQC1VIie88yc,Respondus,,,Neither agree nor disagree,,,Neither agree nor disagree
R_10JJtgPJ5vEkvEy,ProctorU,,Somewhat agree,,,,Somewhat agree
R_1laTV7GioLkl7GC,Other (Please specify),,,,,Neither agree nor disagree,Neither agree nor disagree
R_1Lo3vqbmrfq2OSc,Respondus,,,Neither agree nor disagree,,,Neither agree nor disagree
R_SZEy3bxuQafYPAt,Respondus,,,Strongly agree,,,Strongly agree
R_1dy5ZcEklvFBkRf,RPNow (),,,,Somewhat agree,,Somewhat agree
R_zf2G4MXsH0LQbKh,Other (Please specify),,,,,Somewhat disagree,Somewhat disagree
R_3Ia7rRRp8jn0pVq,Respondus,,,Neither agree nor disagree,,,Neither agree nor disagree
R_2ByvQ4CrDcGDzV8,Examsoft,Strongly disagree,,,,,Strongly disagree
R_2wtsffSpp3iArtP,Other (Please specify),,,,,Neither agree nor disagree,Neither agree nor disagree
R_DDitAE9bDhnUgql,Respondus,,,Somewhat agree,,,Somewhat agree
R_R9neLfVroeGJSj7,Examsoft,Somewhat disagree,,,,,Somewhat disagree
R_1DZn1lLvUnQdssQ,Respondus,,,Strongly agree,,,Strongly agree
R_1GJ4fI4ldXCLjOI,Other (Please specify),,,,,Strongly agree,Strongly agree
R_uy2ionLPQqwyGrf,Respondus,,,Somewhat agree,,,Somewhat agree
R_1HbC0kAIur9b835,Respondus,,,Neither agree nor disagree,,,Neither agree nor disagree
R_QaJJ90CEf2yOZCV,Respondus,,,Neither agree nor disagree,,,Neither agree nor disagree
R_1Qmc5taIHgtiqm7,Respondus,,,Somewhat disagree,,,Somewhat disagree
R_1JRgXi5Eg2fMWYz,RPNow (),,,,Neither agree nor disagree,,Neither agree nor disagree
R_2whmJviFAaRw9RV,Respondus,,,Strongly disagree,,,Strongly disagree
R_2dhlE62KjqYZ0hI,Respondus,,,Somewhat agree,,,Somewhat agree
R_1LRJoZJO7s9RGf7,Other (Please specify),,,,,Somewhat disagree,Somewhat disagree
R_1r07Pa4ecdVBFus,RPNow (),,,,Strongly agree,,Strongly agree
R_1IQQnYLDAqQoVUI,Respondus,,,Strongly agree,,,Strongly agree
R_OcI5fmeuckGNlqV,Respondus,,,Somewhat agree,,,Somewhat agree