ResponseId,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q29_9,Q29_10,Q29_11,Q29_12,Q29_13,Q29_14
R_xxgR2nBYBqt22zL,,,,,,Enabled,,,,,,,,
R_3rUiQC1VIie88yc,,,,,,Enabled,,,,,,,,
R_10JJtgPJ5vEkvEy,Enabled,,,,,Enabled,,,Enabled,,,Enabled,,
R_1laTV7GioLkl7GC,,,,Enabled,Enabled,Enabled,,,Enabled,Enabled,Enabled,,,
R_1Lo3vqbmrfq2OSc,,,,,,,,,,,,,Enabled,
R_SZEy3bxuQafYPAt,,,Enabled,Enabled,Enabled,Enabled,,,Enabled,Enabled,Enabled,Enabled,,
R_1dy5ZcEklvFBkRf,,Enabled,Enabled,Enabled,Enabled,Enabled,,,Enabled,Enabled,Enabled,Enabled,,
R_zf2G4MXsH0LQbKh,,,,,,Enabled,,,,,,,,
R_3Ia7rRRp8jn0pVq,Enabled,,,,,Enabled,,,,,,Enabled,,
R_2ByvQ4CrDcGDzV8,,,,Enabled,Enabled,Enabled,,Enabled,Enabled,Enabled,,Enabled,,
R_2wtsffSpp3iArtP,,,,,,,,,,,,,,Enabled
R_DDitAE9bDhnUgql,,,,,,Enabled,,,,,,,,
R_R9neLfVroeGJSj7,Enabled,,,Enabled,Enabled,Enabled,,Enabled,Enabled,Enabled,Enabled,Enabled,,
R_1DZn1lLvUnQdssQ,,,,,,Enabled,,,,Enabled,,,,
R_1GJ4fI4ldXCLjOI,Enabled,,,,,,,,,,,,,
R_uy2ionLPQqwyGrf,,Enabled,,,,Enabled,,,,Enabled,,Enabled,,
R_1HbC0kAIur9b835,,,,,,Enabled,,,,,,,,
R_QaJJ90CEf2yOZCV,Enabled,,,Enabled,Enabled,Enabled,,,,Enabled,,Enabled,,
R_1Qmc5taIHgtiqm7,,,,Enabled,Enabled,Enabled,,,,Enabled,Enabled,Enabled,,
R_1JRgXi5Eg2fMWYz,,Enabled,,,,,,,Enabled,Enabled,Enabled,Enabled,,
R_2whmJviFAaRw9RV,,,,,,Enabled,Enabled,Enabled,,,Enabled,,,
R_2dhlE62KjqYZ0hI,,,,,Enabled,Enabled,,,,,,,,
R_1LRJoZJO7s9RGf7,,,,,,,,,,,,,,Enabled
R_1r07Pa4ecdVBFus,Enabled,,,Enabled,Enabled,Enabled,,,Enabled,Enabled,,Enabled,,
R_1IQQnYLDAqQoVUI,Enabled,,,,Enabled,Enabled,,,,,,Enabled,,
R_OcI5fmeuckGNlqV,,,,,Enabled,Enabled,,,,,,Enabled,,