ResponseId,Examsoft,ProctorU,Respondus,RPNow,Other,Total
R_xxgR2nBYBqt22zL,Yes,,,,,No
R_3rUiQC1VIie88yc,No,,,,,No
R_10JJtgPJ5vEkvEy,,No,,,,No
R_1laTV7GioLkl7GC,,,Yes,,,No
R_1Lo3vqbmrfq2OSc,,,Yes,,,No
R_SZEy3bxuQafYPAt,,,Yes,,,Yes
R_1dy5ZcEklvFBkRf,,,Yes,,,Yes
R_zf2G4MXsH0LQbKh,,,Yes,,,No
R_3Ia7rRRp8jn0pVq,,,Yes,,,Yes
R_2ByvQ4CrDcGDzV8,,,No,,,Yes
R_2wtsffSpp3iArtP,,,No,,,No
R_DDitAE9bDhnUgql,,,No,,,No
R_R9neLfVroeGJSj7,,,No,,,No
R_1DZn1lLvUnQdssQ,,,No,,,I'm Unsure
R_1GJ4fI4ldXCLjOI,,,No,,,No
R_uy2ionLPQqwyGrf,,,No,,,Yes
R_1HbC0kAIur9b835,,,I'm Unsure,,,I'm Unsure
R_QaJJ90CEf2yOZCV,,,I'm Unsure,,,Yes
R_1Qmc5taIHgtiqm7,,,,Yes,,No
R_1JRgXi5Eg2fMWYz,,,,Yes,,Yes
R_2whmJviFAaRw9RV,,,,Yes,,No
R_2dhlE62KjqYZ0hI,,,,,No,No
R_1LRJoZJO7s9RGf7,,,,,No,No
R_1r07Pa4ecdVBFus,,,,,No,Yes
R_1IQQnYLDAqQoVUI,,,,,No,Yes
R_OcI5fmeuckGNlqV,,,,,No,Yes